utterance,intent
Search for homes with low council tax bands in the Chester area.,search_properties
"Generate a description for a flat perfect for remote work, highlighting the dedicated office space.",generate_property_description
Create a guide to 'biophilic design': bringing nature into your home to boost its appeal.,generate_blog_post
Compose a compelling description for a property with a home cinema and gym in Chelsea.,generate_property_description
I want to find a three-bedroom house that's been recently refurbished in Cardiff.,search_properties
"The landlord has withdrawn the rental in Notting Hill, please remove the listing.",update_listing
Generate an article titled 'Leasehold vs. Freehold: A Buyer's Guide'.,generate_blog_post
Show me homes with a secure bike storage facility in Cambridge.,search_properties
The ground rent for the Reading flat escalates; please add the details from the lease I emailed.,update_listing
Show me listings with a '3D tour' option in the Nottingham area.,search_properties
"Correct the description for the Sheffield flat; it's electric heating, not gas central heating.",update_listing
Are there any homes with a roof terrace that has views of the London skyline?,search_properties
The vendor has instructed a price drop on the Exeter property to get it sold before the end of the month.,update_listing
"The seller wants to be aggressive; change the price for the Liverpool apartment to 'Offers Over £150,000'.",update_listing
"Need to advertise a room for rent in a shared house in Brighton. Write me a short, friendly ad.",generate_property_description
Let's move the Leeds warehouse listing to 'Under Offer'.,update_listing
Show me the marketing brochure for the penthouse on the South Bank.,get_property_details
"The vendor wants to pause viewings, can you mark the listing as 'Temporarily Unavailable'?",update_listing
Create a post comparing the property markets in Manchester vs. Birmingham for young professionals.,generate_blog_post
Find me a Victorian terraced house in the Moseley area of Birmingham.,search_properties
Search for a family home with a playroom or a second reception room.,search_properties
Find the property on the Environment Agency's flood map.,get_property_details
Add a note to the rental listing in Clapham: 'A six-month break clause is available'.,update_listing
Generate a blog post on property auction trends for Q3 2025.,generate_blog_post
I'm looking for a Georgian townhouse in Bath.,search_properties
"Is there an alarm system at the property in Hampstead, and what's the code?",get_property_details
"Generate a punchy, energetic description for a first-time buyer flat in Brixton.",generate_property_description
"Write a listing for a two-bed flat in Clifton, Bristol, emphasizing its balcony views over the suspension bridge.",generate_property_description
Generate a blog post on 'How to spot a property with good 'bones' and investment potential'.,generate_blog_post
"I'm looking for a project, maybe a derelict barn or an old pub with planning permission.",search_properties
Search for homes with good transport links to central London.,search_properties
Display the gallery for the new build in Milton Keynes.,get_property_details
Are there any homes for sale that include a separate guest cottage?,search_properties
Show me all 'Price on Application' listings in Chelsea.,search_properties
Generate an article on the price per square foot: A comparison across different London boroughs.,generate_blog_post
Write a blog post about the rise of 'green' homes and their impact on property values.,generate_blog_post
Generate a listing for a historic brownstone in Brooklyn's Park Slope neighborhood.,generate_property_description
Create an article on 'The Art of Depersonalisation: Preparing Your Home for Sale'.,generate_blog_post
Find the memorandum of sale for the house on Portobello Road.,get_property_details
Compose a guide for selling a tenanted property.,generate_blog_post
"The sale didn't go through for the Birmingham property, please make it available again.",update_listing
"Generate a description for a house that's a 'blank canvas', perfect for renovation.",generate_property_description
Write a guide to understanding the 'chain' in a property transaction.,generate_blog_post
Show me everything listed in the last 48 hours in the E1 postcode.,search_properties
Create a blog post on portfolio diversification strategies for property investors.,generate_blog_post
Write up a listing for me. It's a 3-bed semi-detached in a Cardiff suburb with a garage and driveway.,generate_property_description
"The landlord wants to increase the rent on the Islington flat to £2,100 PCM after the refurb.",update_listing
"Remove the photo of the second bedroom for the London flat, it's being redecorated.",update_listing
Find me a house that needs modernisation in the suburbs of Glasgow.,search_properties
"Update the listing for the Southampton property to 'Guide Price £400,000 - £425,000'.",update_listing
Show me the local school catchment area for the house in Richmond.,get_property_details
Draft an article on the tax benefits of using a limited company for buy-to-let properties.,generate_blog_post
Draft a listing for a charming apartment with a balcony in the Trastevere neighborhood of Rome.,generate_property_description
Write a blog post that demystifies the conveyancing process.,generate_blog_post
"Mark the rental on Park Road, Bristol as 'Let Subject to Referencing'.",update_listing
Find a family home close to Heaton Park in Manchester.,search_properties
Show me properties with a large garden in the Surrey Hills.,search_properties
Create an article on the importance of conducting regular property inspections.,generate_blog_post
Collate all the negative viewing comments for the property in Maida Vale.,get_property_details
Create an article titled: 'Will the General Election Results Impact UK House Prices?',generate_blog_post
Show me a three-bedroom house with a garage and a driveway in a good Bristol school catchment.,search_properties
Show me all the listings on Zoopla in the SK9 postcode.,search_properties
Search for eco-homes or properties with solar panels in Brighton.,search_properties
Pull up the marketing text used for the property description.,get_property_details
What is the current status of the sale for the home in St Albans?,get_property_details
Pull up the offer history for the apartment with ID 789-CDE.,get_property_details
"What's available in the Jewellery Quarter, Birmingham, with secure parking?",search_properties
Cancel the open house scheduled for this weekend for the property in Richmond.,update_listing
"I'm looking for a large, detached family home in Solihull.",search_properties
Show me the floor plan for the house on Ocean View Drive.,get_property_details
Update the deposit for the Shoreditch flat to be '5 weeks' rent'.,update_listing
The property is Grade II listed; this needs to be prominently mentioned in the first paragraph of the description.,update_listing
Write an article on how the 'Bank of Mum and Dad' is shaping the first-time buyer market.,generate_blog_post
Create a description for a ground-floor flat with direct garden access in Glasgow's West End.,generate_property_description
"The ground rent for the flat in Putney is zero, please update the details.",update_listing
"Just listed a property in Jesmond, Newcastle. It's a 3-bedroom upper maisonette and needs a great description.",generate_property_description
Can you add to the description for the Wimbledon house that it's in the catchment area for Pelham Primary School?,update_listing
Display the listing timeline for the house on Church Road.,get_property_details
Create a description that highlights the significant built-in storage in a 2-bed London flat.,generate_property_description
Generate a blog post on simple ways to create a welcoming and memorable entrance hall.,generate_blog_post
Generate a post on 'How to Handle End-of-Tenancy Deposit Disputes Fairly and Legally'.,generate_blog_post
Search for a detached bungalow on a single level with no steps in Devon.,search_properties
Compose a piece on whether renting is becoming more financially sensible than buying in 2026.,generate_blog_post
I need a description for a portfolio of 10 tenanted properties being sold by an investor.,generate_property_description
"Please compose a description for a 4-bed family home in a suburb of Toronto, Canada.",generate_property_description
"Give me a description for a ski chalet in the French Alps, focusing on its ski-in/ski-out access.",generate_property_description
Update the rental property in Birmingham: 'Available immediately'.,update_listing
Are there any flats with a 24-hour concierge in Manchester's Deansgate?,search_properties
"The sellers of the cottage in the Cotswolds want to test the market higher, increase the price by £15,000.",update_listing
Can you update the property type from 'Terraced' to 'End of Terrace' for the listing in Sheffield?,update_listing
Write a blog post on 'The Best Family-Friendly Neighbourhoods in Surrey'.,generate_blog_post
Are there any Grade II listed properties for sale in Bath?,search_properties
"Remove the winter shots and add the new summer photos for the property on The Green, Richmond.",update_listing
"Increase the asking price for the mansion in Chelsea to £5,500,000.",update_listing
Update the rent for the room in the shared house to '£750 PCM including bills'.,update_listing
Can you change the order of the photos for the Camden flat? Put the kitchen pictures first.,update_listing
"The photographer just sent the link for the York house, please upload all photos and the floor plan.",update_listing
I need to know about the mobile phone signal strength inside the property.,get_property_details
Is the current owner the original owner of this new build?,get_property_details
Draft a tweet about a new family home we've just listed in a leafy Manchester suburb.,generate_property_description
"Please generate a compelling description for a beach house for sale in Cape Town, South Africa.",generate_property_description
Draft me something for a small cottage on the west coast of Ireland.,generate_property_description
Compose a piece on 'What is a listed building and what are the restrictions?',generate_blog_post
Can you add 'Share of Freehold' to the key features of the Pimlico flat?,update_listing
"Consolidate all viewings for the Manchester apartment into a block viewing this Saturday, 10am-12pm.",update_listing
Write a post explaining what a 'peppercorn rent' is in leasehold properties.,generate_blog_post
Write a guide to understanding EPC ratings and what they mean for your energy bills.,generate_blog_post
Generate a post on understanding the tax implications of being a landlord.,generate_blog_post
Create a blog post titled 'Investing in Student Accommodation: A Landlord's Guide'.,generate_blog_post
"Let's amend the price of the property in Exeter to £350,000.",update_listing
The landlord wants to offer a '1 week rent-free' incentive for a quick move-in. Please add this to the description.,update_listing
"The owners want to change the price for the house on Richmond Road to 'Offers in excess of £750,000'.",update_listing
Create a checklist for sellers: 'What to Do Before Your First Viewing'.,generate_blog_post
Please add a watermark to all photos for the property on Baker Street.,update_listing
Write an article comparing the investment potential of residential vs. commercial property today.,generate_blog_post
Update the summary for the flat in Canary Wharf to mention 'hyperoptic broadband installed'.,update_listing
What is the ground rent review period for the maisonette in Cardiff?,get_property_details
Write a blog post on navigating the property market as a solo buyer.,generate_blog_post
I'm looking for a penthouse apartment in Liverpool with views of the Mersey.,search_properties
I need some marketing copy for a new condo development in Dubai Marina.,generate_property_description
"Write a description for a luxury condo in Vancouver, Canada, with mountain and ocean views.",generate_property_description
Create a detailed description for a penthouse apartment in Liverpool with panoramic city and river views.,generate_property_description
Pull up the details about the swimming pool for the house in Surrey.,get_property_details
"Generate an ad for a modern apartment in a secure complex in Johannesburg, South Africa.",generate_property_description
I need a description for a data centre facility for lease near London.,generate_property_description
I need a place with fibre optic broadband already connected.,search_properties
Search for homes with a formal dining room in the Harrogate area.,search_properties
"Please relist the property at 7 Cherry Tree Lane, the chain broke.",update_listing
"Write a description, but focus on the investment angle. It's a flat near Manchester University.",generate_property_description
Compose a piece on 'Buy-to-Let Mortgages Explained'.,generate_blog_post
Create an article titled: 'Red Flags to Watch Out for During a Property Viewing'.,generate_blog_post
Compose an article on 'Rent Guarantee Insurance: Is it a Worthwhile Expense for Landlords?',generate_blog_post
Write a blog post about the process of selling a shared ownership property.,generate_blog_post
I need a description for a fixer-upper; it's a 3-bed semi in Sheffield that needs full renovation.,generate_property_description
Is there loft access at the bungalow in Bournemouth?,get_property_details
I'm looking for a character property in Stratford-upon-Avon.,search_properties
I'm interested in properties with potential to extend in South West London.,search_properties
Generate an article discussing the future of commercial property in UK city centres.,generate_blog_post
"I'd like a property description for a historic apartment in Rome, near the Pantheon.",generate_property_description
Got a bungalow for sale in Worthing. Need a description that appeals to retirees.,generate_property_description
Update the furnishing for the rental in Leeds to specify 'sofa and white goods included only'.,update_listing
I need a house with a cellar and a loft with conversion potential in South London.,search_properties
Please correct the spelling of 'ensuite' in the description for the Chester property.,update_listing
Draft a post on understanding the 'Making Tax Digital' requirements for landlords.,generate_blog_post
Show me a list of all withdrawn offers for the flat in Putney.,get_property_details
Change the price to 'Price on Application' for the estate in Surrey.,update_listing
Find me a house with no onward chain and a motivated seller in York.,search_properties
Find me a home with underfloor heating in a new development near Reading.,search_properties
Compose a guide to complying with gas and electrical safety regulations in rental properties.,generate_blog_post
"Change the status of the Sheffield property to SSTC, we have a complete chain.",update_listing
"Show me all the homes for sale on Church Road, Barnes.",search_properties
Get me the local authority search results for the Reading property.,get_property_details
Write a detailed analysis of the student rental market in Edinburgh.,generate_blog_post
Write a blog post on 'What is Title Insurance and Do I Really Need It?',generate_blog_post
Write an article on sustainable home improvements that can also save you money.,generate_blog_post
Show me the room dimensions for the master bedroom in the Bristol flat.,get_property_details
Write an article about the latest changes to tenancy laws in England.,generate_blog_post
"The owner wants to invite offers between £700,000 and £725,000 for the Surrey property. Update the price band.",update_listing
"We have accepted an offer on 12 Orchard Close, please update its status.",update_listing
"I need some words for a flat I'm selling in Angel, Islington. It's a one-bed with a small balcony.",generate_property_description
Let's take the property in the Lake District off the market for the winter; the owner will relist in Spring.,update_listing
Can you confirm the annual ground rent for the property at 10 Downing Street?,get_property_details
"Find a quiet property, not on a main road, in York.",search_properties
Draft a simple guide to understanding and negotiating offers on your property.,generate_blog_post
"I need a description for a Regency-era villa in Cheltenham, meticulously restored.",generate_property_description
"Adjust the price for 8 Baker Street, the seller wants to be more competitive.",update_listing
Write a blog post on the pros and cons of selling your home via auction.,generate_blog_post
Compose a piece on the Party Wall Act and what it means for your home extension plans.,generate_blog_post
"Update the asking price for the Lincoln property to £189,950.",update_listing
Show me all available homes in the village of Alderley Edge.,search_properties
Update the key features to include 'underfloor heating in both bathrooms' for the new build in Reading.,update_listing
Change the headline for the London Bridge flat to 'Stunning Riverside Apartment with Balcony'.,update_listing
"Generate a listing for a wide-beam narrowboat moored in Little Venice, London.",generate_property_description
I need a description for a property with development potential (STPP) on a large plot in Essex.,generate_property_description
Generate a blog post on the importance of professionally responding to viewer feedback.,generate_blog_post
What type of heating system does the house in Nottingham have?,get_property_details
Can you send me the link to the Rightmove listing for the house in Wimbledon?,get_property_details
"The owner works nights, so please update the viewing instructions to 'No viewings before 12pm'.",update_listing
Generate a guide to the HMO (House in Multiple Occupation) licensing process in the UK.,generate_blog_post
"I need a list of nearby supermarkets for the property in Headingley, Leeds.",get_property_details
Swap the lead photo on the Brighton flat to the new one I just uploaded called 'hero_shot.jpg'.,update_listing
Write me something for a 2-bed new-build in Peckham.,generate_property_description
Please add the service charge and ground rent details for the flat in Battersea.,update_listing
Show me all detached homes with a double garage in Cheltenham.,search_properties
Generate a blog post on 'Long-Term vs. Short-Term Lets: A Profitability Analysis for Landlords'.,generate_blog_post
What offers have been made on the home in Chelsea?,get_property_details
Write a description for a riverside apartment in a prestigious development in Nine Elms.,generate_property_description
I need the alarm code and disarming instructions for the house in Winchester.,get_property_details
Write a piece on the most over- and under-valued property markets across the UK.,generate_blog_post
What should I say about a 5-bed detached house in Sevenoaks with a home office?,generate_property_description
"Write a description for a home located on a quiet, no-through road in Nottingham.",generate_property_description
Compose a post on 'Gazumping and Gazundering: What They Are and How to Protect Yourself'.,generate_blog_post
Draft an article on 'The Right of First Refusal' in property law and what it means for tenants.,generate_blog_post
I'm searching for an end-of-terrace house in the Wimbledon Village area.,search_properties
I need to market a former pub with planning permission to convert to residential units.,generate_property_description
Write a listing for a takeaway food business with living accommodation above in a suburb of Manchester.,generate_property_description
"The tenants have paid their deposit for the flat in Cardiff, please move the status from 'Let Agreed' to 'Let'.",update_listing
Search for properties with a view of the castle in Edinburgh.,search_properties
Create a guide on what happens between your mortgage offer and the completion date.,generate_blog_post
Create a simple guide to understanding Stamp Duty for second homes and buy-to-let properties.,generate_blog_post
Find the original purchase price paid by the current vendor for the house in Leeds.,get_property_details
Write a guide on navigating government home-buying schemes.,generate_blog_post
"Can you generate a description for a holiday villa in Marbella, Spain, with a private pool?",generate_property_description
Show me a map of the property in relation to local dog walking spots.,get_property_details
Is there fibre optic broadband installed at the property in Reading?,get_property_details
I need a description for a vineyard property for sale in the Bordeaux region of France.,generate_property_description
Add 'south-west facing garden' to the key features list for the house in St Albans.,update_listing
Write about the top 5 UK property investment hotspots for the next decade.,generate_blog_post
Write a description for an apartment that is part of a shared ownership scheme.,generate_property_description
Get me details on the outbuildings for the farm in rural Wales.,get_property_details
Create a high-end description for a warehouse conversion in Shoreditch with double-height ceilings.,generate_property_description
"Change the viewing arrangements for the house in Leeds to 'Vacant possession, viewings available anytime'.",update_listing
I need the key-safe code for the flat on King's Road.,get_property_details
Search for a maisonette with its own entrance in Hove.,search_properties
Can you find the before-and-after renovation photos for the property in Hackney?,get_property_details
"The vendor has sent a video of the garden in bloom, please add it to the listing for 22 Willow Creek.",update_listing
What are the nearest tube stations to the flat in South Kensington?,get_property_details
Can you confirm if the property has a right of way through the neighbour's garden?,get_property_details
I need a two-bed flat in Glasgow's West End.,search_properties
Analyze the impact of new short-term let regulations in cities like Edinburgh and London.,generate_blog_post
Has the asking price been adjusted for the home in Guildford?,get_property_details
Write an article on the best London neighbourhoods for food lovers and culinary enthusiasts.,generate_blog_post
Draft a post on the pros and cons of buying a property at auction.,generate_blog_post
Are the windows double-glazed on the property in Leicester?,get_property_details
Write a blog post on how to research a neighbourhood before you buy.,generate_blog_post
Generate a blog post on the best time of year to list your property for sale.,generate_blog_post
"Generate a description for a top-floor flat, emphasizing the great natural light.",generate_property_description
Generate a short bio for a top-floor flat in Islington.,generate_property_description
Generate a description for a timber lodge in a managed forest resort in Scotland.,generate_property_description
I need a detached property with at least an acre of land in rural Wales.,search_properties
"Compose some copy for a student house in Fallowfield, Manchester, available for the next academic year.",generate_property_description
Write a guide on how to become a landlord in the UK.,generate_blog_post
"The auction guide price needs updating for the property in Birmingham, set it to £90,000+.",update_listing
"The market is hot, increase the price for the Shoreditch loft by £50,000.",update_listing
"Are there any townhouses with an integrated garage in Clifton, Bristol?",search_properties
Show me pet-friendly apartments for sale in Leeds city centre.,search_properties
What was the feedback from the 2pm viewing at the Knightsbridge flat?,get_property_details
What's the latest valuation on the property with reference #45B21?,get_property_details
Is the property listed or in a conservation area?,get_property_details
"The lease on the London flat has been extended, it's now 999 years. Please update.",update_listing
Are there any other properties on this street currently for sale?,get_property_details
Create a post examining the role of foreign investment in the UK's luxury property sector.,generate_blog_post
I'm looking for a property that is vacant and chain-free for a quick purchase; location is flexible but must be a city.,search_properties
Show me all the properties that have dropped their price by more than 5% in the last month.,search_properties
"Create a listing for a home with a large, modern kitchen-diner designed for entertaining.",generate_property_description
"Take the property at 1 Abbey Road, London off the market.",update_listing
Please remove all future viewing slots for the property at 10 Downing Street; the offer has been accepted.,update_listing
Generate a blog post on 'The Ultimate Checklist for Moving into Your New Home'.,generate_blog_post
Draft a description for a small café premises for sale in a bustling part of Soho.,generate_property_description
Pull up any notes on the vendor's motivation for moving.,get_property_details
"Describe a modern apartment in Berlin's Mitte district, close to public transport.",generate_property_description
Draft an analysis of the luxury property market in Central London.,generate_blog_post
I need copy for a ground-floor apartment with direct access to communal gardens in Harrogate.,generate_property_description
Show me the crime rate statistics for the postcode of the Shoreditch flat.,get_property_details
Set the picture of the garden as the primary photo for the listing in Esher.,update_listing
Who was the previous agent marketing this property?,get_property_details
I need a house with a driveway for at least two cars in Leicester.,search_properties
Generate a blog post: 'Top 5 Up-and-Coming Areas in East London for 2026'.,generate_blog_post
"Draft a description for a house in a gated community in Essex, focusing on security and privacy.",generate_property_description
The measurements on the floorplan are in meters; please specify this in the description.,update_listing
Show me properties where the garden is low-maintenance.,search_properties
Please change the security deposit for the flat in Birmingham to 'Zero Deposit Option Available'.,update_listing
Pull up the professional photographs for the listing in Stratford-upon-Avon.,get_property_details
Show me the latest listings in the West End of Glasgow.,search_properties
Does the property have an electric vehicle charging point?,get_property_details
Create a listing for a converted windmill in Lincolnshire.,generate_property_description
Update the number of bedrooms from 3 to '2 bedrooms plus study' for the property in Oxford.,update_listing
Where is the property featured online? Show me all property portals.,get_property_details
Write an article on how to create a standout online property listing with compelling descriptions.,generate_blog_post
Create a blog post titled: 'Is Now a Good Time to Remortgage?',generate_blog_post
What's the council's long-term plan for the park opposite the house?,get_property_details
"Search for properties in the L1 postcode of Liverpool under £250,000.",search_properties
Compose a piece on 'What to look for in the legal pack before bidding on an auction property'.,generate_blog_post
Draft a guide on small bathroom renovation ideas that add significant value.,generate_blog_post
Compose a lifestyle guide to living in the Cotswolds.,generate_blog_post
"Update the EPC certificate on the listing for the house in Reading, I've uploaded the new one.",update_listing
Show me the complete price history for the semi-detached in Sheffield.,get_property_details
Are the kitchen appliances integrated and included in the sale?,get_property_details
"The tenants have signed the lease for the Bristol flat, change its status to 'Let'.",update_listing
"Change the price on the flat in Putney to OIRO £450,000.",update_listing
"The virtual staging photos have arrived for the empty flat in Leeds, please integrate them into the main photo set.",update_listing
"I need a description for a property with a separate annexe, ideal for guests or multi-generational living.",generate_property_description
"The floor plan for the maisonette in Hackney is ready, please add it to the listing.",update_listing
Write a guide to choosing neutral paint colours that appeal to the widest range of buyers.,generate_blog_post
"Write a very concise, bullet-point style summary for a window display card.",generate_property_description
What was the guide price at auction for the plot of land in Kent?,get_property_details
What's the average broadband speed for the flat in Central London?,get_property_details
Create a listing for an apartment with a 24-hour concierge service in a central Manchester block.,generate_property_description
Are there any sinking fund details for the apartment building in Liverpool?,get_property_details
Correct the square footage for the apartment in Liverpool to 850 sq ft.,update_listing
The EPC chart needs to be added as the last image for the property in Cambridge.,update_listing
Draft an article on how to factor school catchment areas into your property search.,generate_blog_post
"The owner of 45 Elm Avenue, London, wants all viewings to be accompanied by me personally. Please add that as a note.",update_listing
Update the summary for the Birmingham flat to highlight the 'secure underground parking'.,update_listing
Generate an article explaining the legal responsibilities of a landlord.,generate_blog_post
Let's update the listing for the Nottingham house to show 'Price Reduced for a Quick Sale'.,update_listing
"Generate a neighbourhood guide to Clifton, Bristol.",generate_blog_post
Create an aspirational description for a modern architectural masterpiece in Hampstead.,generate_property_description
Property description for a 4-bed detached in a village outside of York.,generate_property_description
"Can you find a split-level apartment in Barbican, London?",search_properties
Draft a post on the 'Zoom Boom': Are people still moving out of cities for more space?,generate_blog_post
The property at 15 Grove Park is now sold and completed. Please update the record.,update_listing
Write a post on 'The Essential Guide to Kerb Appeal'.,generate_blog_post
Please amend the listing for the Oxford house to state 'close to outstanding schools'.,update_listing
Show me the vendor's conveyancer details for the sale in Bath.,get_property_details
Write a post on 'Home Staging: The Ultimate Guide to Making Your Property Irresistible'.,generate_blog_post
"The property in Stratford-upon-Avon is now officially sold, update the record.",update_listing
Write an exclusive-sounding description for an off-market property you're offering to select clients.,generate_property_description
Change the listing to reflect 'Offers Invited' for the cottage in Devon.,update_listing
Add 'Residents' parking permit required from the council' to the parking details for the Camden property.,update_listing
Please remove the phrase 'quiet street' from the description; there are roadworks planned.,update_listing
Schedule an open day for the house in Wimbledon on Saturday from 2 PM to 4 PM.,update_listing
"Summarize the best features of a family home in Moseley, Birmingham.",generate_property_description
I need a description for a plot of land for sale in Kent with planning permission for a detached house.,generate_property_description
Generate a post titled 'UK Rental Market Predictions for 2026'.,generate_blog_post
Create an article on the benefits of getting a pre-sale property survey.,generate_blog_post
Show me properties with bi-fold doors leading out to the garden.,search_properties
Show me everything with an EPC rating of B or higher in Bristol.,search_properties
"I need a house with a large, modern kitchen island in a suburb of Leeds.",search_properties
Show me properties with a home office space in Oxford.,search_properties
Help me write a Rightmove ad for a 2-bedroom terrace in Bristol's Bedminster area.,generate_property_description
"Write me a description for a rustic farmhouse in Tuscany, Italy, with an olive grove.",generate_property_description
Change the main photo for the Surrey listing to the drone shot of the entire plot.,update_listing
Are there any known restrictive covenants on the land for the farmhouse in the Cotswolds?,get_property_details
Draft an article explaining the different government schemes available for first-time buyers in 2025.,generate_blog_post
Has this property been on the market recently with another agent?,get_property_details
Find a ground-floor apartment suitable for an elderly person in Chester.,search_properties
Write a post on effective maintenance strategies to protect your rental investment long-term.,generate_blog_post
Show me a comparison of the asking price against similar sold properties in the area.,get_property_details
I need a description for a property with equestrian facilities in rural North Yorkshire.,generate_property_description
Is there a digital brochure I can send to my client for the house in Harrogate?,get_property_details
Write a description for a static caravan on a premium holiday park in North Wales.,generate_property_description
"Mark the flat in Shoreditch as under offer, I've just had the memorandum of sale sent out.",update_listing
"Find a two-bed, two-bath apartment in a new development in Stratford, London.",search_properties
Create a neighbourhood guide to the trendy Northern Quarter in Manchester.,generate_blog_post
Show me all properties with a guide price between £700k and £850k in St Albans.,search_properties
"What are the parking restrictions on the street outside the flat in Clifton, Bristol?",get_property_details
Find a top-floor flat with lift access in Edinburgh.,search_properties
"Draft a description for a large family home in a prime school catchment area in Hale, Cheshire.",generate_property_description
"How many times has this listing fallen through, and why?",get_property_details
I'm looking for a property near the University of Nottingham.,search_properties
Please correct the school mentioned in the listing; it should be 'St. Mary's Primary' not 'St. John's'.,update_listing
Let's get this property sold. Write a compelling description for a 2-bed in Croydon with a long lease.,generate_property_description
Write a guide to investing in commercial-to-residential property conversions.,generate_blog_post
Write a guide for freelancers and self-employed individuals on securing a mortgage.,generate_blog_post
"The sale at 99 River View has officially fallen through, please reactivate the listing.",update_listing
What's on the market in Canterbury with at least three bedrooms?,search_properties
Could you put together some words for a modern loft in downtown Los Angeles?,generate_property_description
Generate an article explaining what 'covenants' on a property are.,generate_blog_post
"We've had no interest, let's reduce the asking price for the Durham house by £10,000.",update_listing
Generate a blog post: 'A Lifestyle Guide to Canal-side Living in London'.,generate_blog_post
Are there any properties that are part of a gated community in Surrey?,search_properties
"Write a buyer's guide to leasehold properties, including service charges and ground rent.",generate_blog_post
What's the tenure of the garage for the house in Southampton?,get_property_details
I'd like to see homes with at least a 100-foot long garden in Essex.,search_properties
"The current tenants are leaving early, so the flat is 'Available Now'. Please update the listing.",update_listing
Show me all waterfront properties in Salford Quays.,search_properties
"What five-bedroom houses are for sale in Hale, Greater Manchester?",search_properties
Create a short description for a 2-bed granite tenement flat in central Aberdeen.,generate_property_description
Can you make me an enticing social media post about a starter home in Walthamstow?,generate_property_description
Find the estimated renovation cost for the fixer-upper in Glasgow.,get_property_details
Generate an article explaining 'restrictive covenants' and how they can affect a property owner.,generate_blog_post
Create a post explaining what a 'Deed of Trust' is and when you need one.,generate_blog_post
The sellers want to add 'Potential to extend (STPP)' to the property details in Guildford.,update_listing
Show me homes with countryside views in rural Yorkshire.,search_properties
Create an article titled: 'How to Save for a Deposit in London'.,generate_blog_post
"I need a place with a designated parking spot, not just on-street parking, in central Brighton.",search_properties
Tell me the projected capital growth for the property in East London.,get_property_details
Draft a guide to selling a property that requires major renovation.,generate_blog_post
How many bedrooms does the property in Richmond have?,get_property_details
